line_id,segment_id,task_id,instruction,trajectory,target,label,start,end,scene_tags
0,0,2,Pergi ke bedroom dan pick up the dressers; kemudian move ke living room and retrieve the tv,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom dan pick up the dressers; kemudian move ke living room and retrieve the tv,dresser,move_forward,5,19,room|hardwood|bedroom|doorway|lead to
1,0,2,Pergi ke bedroom dan pick up the dressers; kemudian move ke living room and retrieve the tv,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom dan pick up the dressers; kemudian move ke living room and retrieve the tv,tv,move_forward,26,42,hardwood|room|doorway|lead to|hallway
1,1,2,Pergi ke bedroom dan pick up the dressers; kemudian move ke living room and retrieve the tv,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom dan pick up the dressers; kemudian move ke living room and retrieve the tv,tv,make a right turn,43,50,room|peel|wall|draw|corner
1,2,2,Pergi ke bedroom dan pick up the dressers; kemudian move ke living room and retrieve the tv,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom dan pick up the dressers; kemudian move ke living room and retrieve the tv,tv,move_forward,51,62,lead to|room|hallway|corridor|hardwood
1,3,2,Pergi ke bedroom dan pick up the dressers; kemudian move ke living room and retrieve the tv,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom dan pick up the dressers; kemudian move ke living room and retrieve the tv,tv,make a right turn,63,69,door|doorway|lead to|room|trim
1,4,2,Pergi ke bedroom dan pick up the dressers; kemudian move ke living room and retrieve the tv,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom dan pick up the dressers; kemudian move ke living room and retrieve the tv,tv,move_forward,70,88,room|hardwood|doorway|wall|lead to
1,5,2,Pergi ke bedroom dan pick up the dressers; kemudian move ke living room and retrieve the tv,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom dan pick up the dressers; kemudian move ke living room and retrieve the tv,tv,make a left turn,89,95,chair|hardwood|living room|room|table
1,6,2,Pergi ke bedroom dan pick up the dressers; kemudian move ke living room and retrieve the tv,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom dan pick up the dressers; kemudian move ke living room and retrieve the tv,tv,move_forward,96,107,hardwood|living room|room|furniture|armchair
2,0,2,Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,paper towel,move_forward,3,20,living room|room|hardwood|red|wall
2,1,2,Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,paper towel,turn_left,21,23,cabinet|hardwood|living room|room|entertainment center
2,2,2,Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,paper towel,move_forward,24,39,appliance|kitchen|home appliance|cabinet|dish washer
2,3,2,Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,paper towel,turn_left,40,42,appliance|cabinet|counter top|dish washer|exhaust hood
2,4,2,Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,paper towel,move_forward,43,47,appliance|cabinet|counter top|dish washer|exhaust hood
3,0,2,Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,telephone,move_forward,82,97,bedroom|bureau|dresser|room|drawer
3,1,2,Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,telephone,turn_right,98,100,bedroom|blue|wall|bureau|cabinet
3,2,2,Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,telephone,move_forward,101,106,bed|bedroom|blue|wall|curtain
3,3,2,Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,telephone,turn_right,107,110,bathroom|blue|curtain|white|bathroom accessory
3,4,2,Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,telephone,move_forward,111,113,bed|bedcover|bedroom|blanket|blue
4,0,2,Pergi ke kitchen dan pick up the fruit; kemudian move to bedroom and retrieve the picture,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the fruit; kemudian move to bedroom and retrieve the picture,fruit,move_forward,0,18,hardwood|room|hallway|cabinet|appliance
5,0,2,Pergi ke kitchen dan pick up the fruit; kemudian move to bedroom and retrieve the picture,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the fruit; kemudian move to bedroom and retrieve the picture,picture,move_forward,25,45,room|living room|home|hallway|hardwood
6,0,2,Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,vacuum cleaner,move_forward,3,16,doorway|hardwood|room|hallway|corridor
6,1,2,Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,vacuum cleaner,turn_left,17,20,balustrade|hardwood|lead to|hallway|room
6,2,2,Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,vacuum cleaner,move_forward,21,24,balustrade|hardwood|lead|lead to|hallway
6,3,2,Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,vacuum cleaner,turn_left,25,27,balustrade|hardwood|home|lead|lead to
6,4,2,Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,vacuum cleaner,move_forward,28,36,balustrade|lead|lead to|stair|stairwell
6,5,2,Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,vacuum cleaner,make a right turn,37,43,balustrade|lead|lead to|rail|stair
6,6,2,Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,vacuum cleaner,move_forward,44,48,balustrade|beam|lead to|room|stair
6,7,2,Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,vacuum cleaner,turn_right,49,52,picture frame|radiator|room|bedroom|lamp
6,8,2,Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,vacuum cleaner,move_forward,53,55,doorway|lead to|hallway|room|hardwood
6,9,2,Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,vacuum cleaner,turn_right,56,58,balustrade|doorway|lead|lead to|hallway
