task_id,trajectory,instruction,n_targets,n_trails,n_segments,min_start,max_end,horizon_steps
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the container,Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the container,2,2,32,3,195,193
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke laundry room dan pick up the washing machine; kemudian move ke bedroom and retrieve the clutter,Pergi ke laundry room dan pick up the washing machine; kemudian move ke bedroom and retrieve the clutter,2,2,28,3,205,203
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,Pergi ke laundry room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the flowerpot,2,2,24,3,149,147
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke rec room dan pick up the pool stick; kemudian move ke bedroom and retrieve the lamp,Pergi ke rec room dan pick up the pool stick; kemudian move ke bedroom and retrieve the lamp,2,2,24,0,274,275
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke laundry room dan pick up the washing stuff; kemudian move to bedroom and retrieve the wardrobe,Pergi ke laundry room dan pick up the washing stuff; kemudian move to bedroom and retrieve the wardrobe,2,2,24,3,173,171
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke rec room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the dresser,Pergi ke rec room dan pick up the vacuum cleaner; kemudian move ke bedroom and retrieve the dresser,2,2,20,0,199,200
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the bottle; kemudian move to bedroom and retrieve the hanger,Pergi ke kitchen dan pick up the bottle; kemudian move to bedroom and retrieve the hanger,2,2,18,5,133,129
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke laundry room dan pick up the cardboard box; kemudian move ke bedroom and retrieve the book,Pergi ke laundry room dan pick up the cardboard box; kemudian move ke bedroom and retrieve the book,2,2,18,3,140,138
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the toilet brush; kemudian move ke bedroom and retrieve the fan,Pergi ke bathroom dan pick up the toilet brush; kemudian move ke bedroom and retrieve the fan,2,2,16,7,168,162
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the stool; kemudian move ke bedroom and retrieve the chest of drawers,Pergi ke kitchen dan pick up the stool; kemudian move ke bedroom and retrieve the chest of drawers,2,2,16,2,112,111
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke tie: bedroom & living room dan pick up the armchair; kemudian move ke kitchen and retrieve the bottle of detergent,Pergi ke tie: bedroom & living room dan pick up the armchair; kemudian move ke kitchen and retrieve the bottle of detergent,2,2,16,6,99,94
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the towel bar; kemudian move ke bedroom and retrieve the fan,Pergi ke bathroom dan pick up the towel bar; kemudian move ke bedroom and retrieve the fan,2,2,16,5,130,126
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke rec room dan pick up the shelf; kemudian move ke bedroom and retrieve the lamp,Pergi ke rec room dan pick up the shelf; kemudian move ke bedroom and retrieve the lamp,2,2,14,0,128,129
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the alarm clock,Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the alarm clock,2,2,14,11,162,152
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the towel bar; kemudian move ke bedroom and retrieve the cabinet,Pergi ke bathroom dan pick up the towel bar; kemudian move ke bedroom and retrieve the cabinet,1,1,13,5,97,93
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the pot; kemudian move ke bedroom and retrieve the drawer,Pergi ke kitchen dan pick up the pot; kemudian move ke bedroom and retrieve the drawer,2,2,13,2,93,92
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the shampoo; kemudian move ke bedroom and retrieve the box,Pergi ke bathroom dan pick up the shampoo; kemudian move ke bedroom and retrieve the box,2,2,13,23,131,109
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke office and pick up the book; then move to bedroom and retrieve the lamp,Pergi ke office and pick up the book; then move to bedroom and retrieve the lamp,1,1,13,0,77,78
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom dan pick up the alarm clock; kemudian move ke living room and place it on the coffee table,Pergi ke bedroom dan pick up the alarm clock; kemudian move ke living room and place it on the coffee table,2,2,12,47,174,128
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke tie: living room & hall dan pick up the trashcan; kemudian move ke bedroom and retrieve the photo,Pergi ke tie: living room & hall dan pick up the trashcan; kemudian move ke bedroom and retrieve the photo,2,2,12,4,152,149
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the countertop item; kemudian move to bedroom and retrieve the chest of drawers,Pergi ke kitchen dan pick up the countertop item; kemudian move to bedroom and retrieve the chest of drawers,2,2,11,2,90,89
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke office dan pick up the telephone; kemudian move to bedroom and retrieve the picture,Pergi ke office dan pick up the telephone; kemudian move to bedroom and retrieve the picture,1,1,11,0,75,76
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the countertop item; kemudian move ke bedroom and retrieve the tv,Pergi ke kitchen dan pick up the countertop item; kemudian move ke bedroom and retrieve the tv,2,2,11,2,87,86
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,Pergi ke kitchen dan pick up the paper towel; kemudian move ke bedroom and retrieve the telephone,2,2,10,3,113,111
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke office and pick up the container; then move to bedroom and retrieve the lamp,Pergi ke office and pick up the container; then move to bedroom and retrieve the lamp,2,2,10,3,64,62
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the soap dispenser; kemudian move ke bedroom and retrieve the lamp,Pergi ke bathroom dan pick up the soap dispenser; kemudian move ke bedroom and retrieve the lamp,1,1,10,4,74,71
