utterance,n_tokens_total,n_tokens_iden,n_id,n_en,id_share,unk_rate,i_index,cmi,span_entropy,burstiness,memory,id2en_rate,en2id_rate,switch_balance,n_switches,len_bin
"Dari bedroom, ambil lamp di atas nightstand, kemudian jalan ke bathroom dan tempatkan lamp dengan hati-hati di atas shelf",20,20,14,6,0.7,0.0,0.5789473684210527,30.0,1.4182958340544896,-0.1715728752538099,-0.35955056179775285,0.3157894736842105,0.2631578947368421,0.5454545454545454,11,"[20, 25)"
"Dari kitchen, ambil figure di dekat stove, kemudian jalan ke laundry room dan letakkan figure dengan hati-hati di atas box",21,19,13,6,0.6842105263157895,0.09523809523809523,0.5,31.57894736842105,1.6854752972273346,-0.21769286133075133,-0.4155813868856491,0.2777777777777778,0.2222222222222222,0.5555555555555556,9,"[15, 20)"
"Dari office, ambil book di atas box, kemudian jalan ke living room dan letakkan book rapi di atas sofa",19,18,11,7,0.6111111111111112,0.05263157894736842,0.6470588235294118,38.88888888888889,1.2516291673878228,-0.32522729151324803,-0.18918918918918912,0.35294117647058826,0.29411764705882354,0.5454545454545454,11,"[15, 20)"
"Dari office, ambil folder di atas desk, kemudian jalan ke kitchen dan tempatkan folder tersebut di atas kitchen countertop items",20,18,12,6,0.6666666666666666,0.1,0.5294117647058824,33.33333333333333,1.5709505944546687,-0.18071514354354365,-0.2774387886541704,0.29411764705882354,0.23529411764705882,0.5555555555555556,9,"[15, 20)"
"Masuk ke bedroom dan pick up the backpack di dekat bed dengan hati-hati, lalu move ke living room dan set it down pelan-pelan di atas tv stand",29,29,15,14,0.5172413793103449,0.0,0.4642857142857143,48.275862068965516,1.7884504573082896,-0.2809520927538491,-0.1626016260162602,0.25,0.21428571428571427,0.5384615384615384,13,"[25, 30)"
"Masuk ke bedroom dan pick up the bathrobe di dekat bed dengan hati-hati, lalu move ke bathroom dan set it down pelan-pelan di atas shower tub",28,28,15,13,0.5357142857142857,0.0,0.48148148148148145,46.42857142857143,1.7244078178625923,-0.2518666077020543,-0.05,0.25925925925925924,0.2222222222222222,0.5384615384615384,13,"[25, 30)"
"Masuk ke bedroom dan pick up the box di dekat dresser dengan hati-hati, lalu move ke living room dan set it down pelan-pelan di atas pouffe",28,27,15,12,0.5555555555555556,0.03571428571428571,0.46153846153846156,44.44444444444444,1.7758589482446405,-0.2650995742580982,-0.17363153323857144,0.23076923076923078,0.23076923076923078,0.5,12,"[25, 30)"
"Masuk ke bedroom dan pick up the cloth di dekat bed table dengan hati-hati, lalu move ke office and place it neatly on the shelf with cosmetics",28,28,10,18,0.35714285714285715,0.0,0.3333333333333333,35.714285714285715,1.8464393446710154,-0.029756053107193783,-0.3478041718201263,0.18518518518518517,0.14814814814814814,0.5555555555555556,9,"[25, 30)"
"Masuk ke bedroom dan pick up the storage box di dekat chair dengan hati-hati, lalu move ke office and hall dan set it down pelan-pelan di atas lamp table",31,31,15,16,0.4838709677419355,0.0,0.43333333333333335,48.38709677419355,2.0741647430225756,-0.2533814687380612,-0.2753164556962025,0.23333333333333334,0.2,0.5384615384615384,13,"[30, 35)"
"Masuk ke bedroom dan pick up the towel di dekat lamp with care, then move to bathroom and place it neatly on the towel bar",25,25,5,20,0.2,0.0,0.20833333333333334,20.0,1.9182958340544893,0.08561637513444131,-0.034356350636877045,0.125,0.08333333333333333,0.6,5,"[25, 30)"
"Masuk ke bedroom, pick up the lamp di atas nightstand, kemudian move to office and place it neatly on the shelf",21,21,5,16,0.23809523809523808,0.0,0.25,23.809523809523807,1.9182958340544893,-0.044532584492514814,-0.3492063492063492,0.15,0.1,0.6,5,"[20, 25)"
"Masuk ke dining room dan pick up the box di dekat table lamp, kemudian move ke kitchen and place it neatly on the side table",25,24,7,17,0.2916666666666667,0.04,0.391304347826087,29.166666666666668,1.7219280948873623,-0.07644412148189454,-0.28616174603122774,0.21739130434782608,0.17391304347826086,0.5555555555555556,9,"[20, 25)"
"Masuk ke garage, ambil broom di bawah carpet, kemudian move ke kitchen dan place the broom rapi di atas microwave",20,19,11,8,0.5789473684210527,0.05,0.6111111111111112,42.10526315789473,1.384431504340598,-0.3518112373831534,0.3287979746107145,0.3333333333333333,0.2777777777777778,0.5454545454545454,11,"[15, 20)"
"Masuk ke Hall, ambil decorative plant di atas shoe shelf, kemudian jalan ke Kitchen dan tempatkan dengan hati-hati di dekat coffee machine",23,22,15,7,0.6818181818181818,0.043478260869565216,0.3333333333333333,31.818181818181817,1.2987949406953985,0.004098429496411241,-0.06807511737089199,0.19047619047619047,0.14285714285714285,0.5714285714285714,7,"[20, 25)"
"Masuk ke kitchen dan pick up the appliance di dekat refrigerator dengan hati-hati, lalu move ke bedroom and set it down pelan-pelan di atas dresser",27,25,14,11,0.56,0.07407407407407407,0.2916666666666667,44.0,2.1556390622295662,-0.2606245977298561,-0.14197455728409028,0.16666666666666666,0.125,0.5714285714285714,7,"[25, 30)"
"Masuk ke kitchen dan pick up the bowl of fruit di dekat sink dengan hati-hati, lalu move ke living room dan set it down pelan-pelan di atas flowerpot",30,29,15,14,0.5172413793103449,0.03333333333333333,0.39285714285714285,48.275862068965516,2.117492461184755,-0.21777269515903816,-0.0789901161572728,0.21428571428571427,0.17857142857142858,0.5454545454545454,11,"[25, 30)"
"Masuk ke kitchen dan pick up the box di dekat sink dengan hati-hati, lalu move ke living room dan set it down pelan-pelan di atas couch",28,27,15,12,0.5555555555555556,0.03571428571428571,0.4230769230769231,44.44444444444444,1.8879185026711327,-0.2919077966760156,-0.15965579833999827,0.23076923076923078,0.19230769230769232,0.5454545454545454,11,"[25, 30)"
"Masuk ke kitchen dan pick up the countertop item di dekat sink dengan hati-hati, lalu move ke bedroom dan set it down pelan-pelan di atas chest of drawers",30,29,15,14,0.5172413793103449,0.03333333333333333,0.39285714285714285,48.275862068965516,2.0545851693377997,-0.27240072578963603,0.157258064516129,0.21428571428571427,0.17857142857142858,0.5454545454545454,11,"[25, 30)"
"Masuk ke kitchen dan pick up the kettle di dekat fridge dengan hati-hati, kemudian move ke bedroom dan set it down pelan-pelan di atas chest of drawers",29,28,15,13,0.5357142857142857,0.034482758620689655,0.4074074074074074,46.42857142857143,1.8250112108241772,-0.30333704529042355,0.17500000000000002,0.2222222222222222,0.18518518518518517,0.5454545454545454,11,"[25, 30)"
"Masuk ke kitchen dan pick up the magazine di dekat table dengan hati-hati, lalu move ke bedroom and place it neatly on the nightstand",25,24,10,14,0.4166666666666667,0.04,0.30434782608695654,41.66666666666667,2.1556390622295662,-0.14589803375031543,-0.4209364560120684,0.17391304347826086,0.13043478260869565,0.5714285714285714,7,"[20, 25)"
"Masuk ke kitchen dan pick up the painting di dekat sink dengan hati-hati, kemudian move ke bedroom dan set it down pelan-pelan di atas bed",27,26,15,11,0.5769230769230769,0.037037037037037035,0.44,42.30769230769231,1.7295739585136223,-0.2571837323219653,-0.014708710135363831,0.24,0.2,0.5454545454545454,11,"[25, 30)"
"Masuk ke kitchen dan pick up the sink di dekat kitchen countertop item dengan hati-hati, lalu move ke living room dan set it down pelan-pelan di atas table",30,28,15,13,0.5357142857142857,0.06666666666666667,0.4074074074074074,46.42857142857143,1.9591479170272446,-0.3288363100531965,-0.08833315666719668,0.2222222222222222,0.18518518518518517,0.5454545454545454,11,"[25, 30)"
"Masuk ke kitchen, pick up the cabinet door di dekat chandelier dengan hati-hati, lalu move ke bedroom dan set it down pelan-pelan di atas chest of drawers",29,28,14,14,0.5,0.034482758620689655,0.4074074074074074,50.0,2.1174924611847548,-0.25864128879227355,0.04065175003046483,0.2222222222222222,0.18518518518518517,0.5454545454545454,11,"[25, 30)"
"Masuk ke kitchen, pick up the knife set di dekat shelf dengan hati-hati, lalu move ke bedroom dan place it neatly on the storage unit",26,25,10,15,0.4,0.038461538461538464,0.375,40.0,1.9609640474436814,-0.10804277329588473,-0.2229882438741499,0.20833333333333334,0.16666666666666666,0.5555555555555556,9,"[25, 30)"
"Masuk ke kitchen, pick up the pitcher di dekat display cabinet dengan hati-hati, lalu move ke bedroom dan set it down pelan-pelan di atas table",27,26,14,12,0.5384615384615384,0.037037037037037035,0.44,46.15384615384615,1.8250112108241772,-0.28204433516126315,-0.032287943475426704,0.24,0.2,0.5454545454545454,11,"[25, 30)"
"Masuk ke laundry room dan pick up the bowl di dekat washing machine dengan hati-hati, lalu move ke bedroom dan set it down pelan-pelan di atas dresser",29,29,15,14,0.5172413793103449,0.0,0.4642857142857143,48.275862068965516,1.7884504573082896,-0.2809520927538491,-0.11771357776803346,0.25,0.21428571428571427,0.5384615384615384,13,"[25, 30)"
"Masuk ke living room dan pick up the blanket di dekat pile of magazines, kemudian move ke bedroom dan set it down di atas wardrobe",25,25,10,15,0.4,0.0,0.5416666666666666,40.0,1.6893917467430877,-0.3105147745612936,-0.0384741882031933,0.2916666666666667,0.25,0.5384615384615384,13,"[25, 30)"
"Masuk ke living room dan pick up the note di dekat sofa dengan hati-hati, lalu move ke bedroom dan set it down pelan-pelan di atas wardrobe",28,28,15,13,0.5357142857142857,0.0,0.48148148148148145,46.42857142857143,1.7244078178625923,-0.2518666077020543,-0.20561231180118483,0.25925925925925924,0.2222222222222222,0.5384615384615384,13,"[25, 30)"
"Masuk ke office, pick up the notes di dekat shelf dengan hati-hati, lalu move ke kitchen dan place it neatly on the table",24,23,10,13,0.43478260869565216,0.041666666666666664,0.3181818181818182,43.47826086956522,2.1556390622295662,-0.23966710586475548,-0.3858387328635861,0.18181818181818182,0.13636363636363635,0.5714285714285714,7,"[20, 25)"
"Masuk ke rec room dan pick up the painting di dekat table dengan hati-hati, lalu move ke living room dan set it down pelan-pelan di atas coffee table",30,30,15,15,0.5,0.0,0.4482758620689655,50.0,1.8092000326978117,-0.31153229312666053,-0.24347826086956517,0.2413793103448276,0.20689655172413793,0.5384615384615384,13,"[30, 35)"
